WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,LANE_CNT,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,REPORT_TYPE,CRASH_TYPE,INTERSECTION_RELATED_I,NOT_RIGHT_OF_WAY_I,HIT_AND_RUN_I,DAMAGE,DATE_POLICE_NOTIFIED,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_NO,STREET_DIRECTION,STREET_NAME,BEAT_OF_OCCURRENCE,PHOTOS_TAKEN_I,STATEMENTS_TAKEN_I,DOORING_I,WORK_ZONE_I,WORK_ZONE_TYPE,WORKERS_PRESENT_I,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH
SNOW,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,$500 OR LESS,01/14/2025 9:15,WEATHER,WEATHER,1800,W,LUNT AVE,2424,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,8,3,1,1,0,8,3,1
CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN BARRIER,,STRAIGHT AND LEVEL,DRY,UNKNOWN,ON SCENE,NO INJURY / DRIVE AWAY,,,,$500 OR LESS,04/05/2025 14:25,FOLLOWING TOO CLOSELY,NOT APPLICABLE,9432,S,JEFFERY AVE,413,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,14,7,4,2,0,14,7,4
CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN BARRIER,,STRAIGHT AND LEVEL,DRY,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",05/23/2025 8:41,UNABLE TO DETERMINE,UNABLE TO DETERMINE,5,W,GARFIELD BLVD,225,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,8,6,5,2,0,8,6,5
CLEAR,UNKNOWN,SIDESWIPE SAME DIRECTION,ONE-WAY,,STRAIGHT AND LEVEL,UNKNOWN,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",03/16/2025 19:00,IMPROPER LANE USAGE,FAILING TO YIELD RIGHT-OF-WAY,20,W,ELM ST,1824,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,3,1,3,3,0,3,1,3
CLEAR,DAYLIGHT,TURNING,FOUR WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",08/28/2024 7:59,FAILING TO YIELD RIGHT-OF-WAY,IMPROPER OVERTAKING/PASSING,2401,S,KEDZIE AVE,1033,,,,,,,2,"REPORTED, NOT EVIDENT",2,0,0,0,2,0,0,7,4,8,0,0,7,4,8
CLEAR,DAYLIGHT,REAR END,FOUR WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",05/23/2025 16:10,FOLLOWING TOO CLOSELY,UNABLE TO DETERMINE,7900,S,PEORIA ST,621,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,16,6,5,2,0,16,6,5
CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,WET,SHOULDER DEFECT,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",08/28/2024 11:45,IMPROPER LANE USAGE,UNABLE TO DETERMINE,4002,N,MILWAUKEE AVE,1624,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,10,4,8,3,0,10,4,8
SNOW,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,SNOW OR SLUSH,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",01/14/2025 9:21,UNABLE TO DETERMINE,UNABLE TO DETERMINE,2349,W,MONTROSE AVE,1911,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,8,3,1,2,0,8,3,1
SNOW,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",01/14/2025 10:37,WEATHER,WEATHER,1118,W,18TH ST,1235,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,10,3,1,1,0,10,3,1
SNOW,DAYLIGHT,PEDESTRIAN,PARKING LOT,,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,N,,$500 OR LESS,01/14/2025 10:16,UNABLE TO DETERMINE,UNABLE TO DETERMINE,2630,N,NARRAGANSETT AVE,2512,,,,,,,2,"REPORTED, NOT EVIDENT",1,0,0,0,1,1,0,10,3,1,1,0,10,3,1
SNOW,DARKNESS,PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",01/15/2025 17:30,UNABLE TO DETERMINE,NOT APPLICABLE,5140,S,HYDE PARK BLVD,234,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,20,3,1,1,0,20,3,1
SNOW,DAYLIGHT,ANGLE,FOUR WAY,,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,Y,"OVER $1,500",03/16/2025 10:48,TURNING RIGHT ON RED,FAILING TO YIELD RIGHT-OF-WAY,3401,W,HARRISON ST,1133,,,,,,,2,"REPORTED, NOT EVIDENT",2,0,0,0,2,6,0,10,1,3,6,0,10,1,3
CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,,,,"$501 - $1,500",01/14/2025 14:42,IMPROPER OVERTAKING/PASSING,IMPROPER OVERTAKING/PASSING,5499,S,HARLEM AVE,811,,,,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,1,0,13,3,1,1,0,13,3,1
SNOW,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",01/14/2025 11:02,UNABLE TO DETERMINE,UNABLE TO DETERMINE,2721,W,18TH ST,1023,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,10,3,1,1,0,10,3,1
CLEAR,DAYLIGHT,ANGLE,PARKING LOT,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,$500 OR LESS,08/24/2024 14:25,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,1430,S,ASHLAND AVE,1233,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,13,7,8,3,0,13,7,8
CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",10/06/2024 0:30,UNABLE TO DETERMINE,UNABLE TO DETERMINE,908,N,HALSTED ST,1822,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,16,7,10,2,0,16,7,10
SNOW,DAWN,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,SNOW OR SLUSH,UNKNOWN,ON SCENE,NO INJURY / DRIVE AWAY,,,Y,"$501 - $1,500",01/14/2025 5:37,UNABLE TO DETERMINE,UNABLE TO DETERMINE,2345,S,MARSHALL BLVD,1033,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,5,3,1,3,0,5,3,1
CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,PARKING LOT,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,Y,,$500 OR LESS,05/23/2025 12:48,UNABLE TO DETERMINE,NOT APPLICABLE,3633,N,HARLEM AVE,1632,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,12,6,5,1,0,12,6,5
CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,WORN SURFACE,ON SCENE,NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",05/23/2025 18:42,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,NOT APPLICABLE,512,N,MC CLURG CT,1834,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,18,6,5,1,0,18,6,5
CLEAR,"DARKNESS, LIGHTED ROAD",FIXED OBJECT,NOT DIVIDED,,STRAIGHT ON GRADE,DRY,WORN SURFACE,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",04/05/2025 10:49,FAILING TO REDUCE SPEED TO AVOID CRASH,NOT APPLICABLE,2269,S,ARCHER AVE,914,,,,,,,1,INCAPACITATING INJURY,1,0,1,0,0,0,0,10,7,4,0,0,10,7,4
CLEAR,DAYLIGHT,TURNING,PARKING LOT,,STRAIGHT AND LEVEL,DRY,UNKNOWN,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",01/14/2025 13:39,FAILING TO REDUCE SPEED TO AVOID CRASH,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,5301,W,LEXINGTON ST,1522,,,,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,3,0,13,3,1,3,0,13,3,1
RAIN,"DARKNESS, LIGHTED ROAD",TURNING,NOT DIVIDED,,STRAIGHT AND LEVEL,WET,UNKNOWN,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",12/04/2024 17:55,FOLLOWING TOO CLOSELY,FAILING TO YIELD RIGHT-OF-WAY,199,E,BELLEVUE PL,1824,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,17,4,12,2,0,17,4,12
CLEAR,DAYLIGHT,ANGLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,UNKNOWN,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",08/05/2025 6:40,EQUIPMENT - VEHICLE CONDITION,EQUIPMENT - VEHICLE CONDITION,10598,S,MUSKEGON AVE,434,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,6,3,8,2,0,6,3,8
CLEAR,DAYLIGHT,REAR END,FOUR WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",10/05/2025 16:00,IMPROPER BACKING,UNABLE TO DETERMINE,7201,W,PALATINE AVE,1612,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,15,1,10,2,0,15,1,10
CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,Y,"OVER $1,500",01/14/2025 23:45,UNABLE TO DETERMINE,UNABLE TO DETERMINE,3204,N,MOBILE AVE,1633,,,,,,,3,NO INDICATION OF INJURY,0,0,0,0,0,1,0,21,3,1,1,0,21,3,1
CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",05/23/2025 16:05,FOLLOWING TOO CLOSELY,UNABLE TO DETERMINE,3824,W,MONTROSE AVE,1723,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,15,6,5,2,0,15,6,5
UNKNOWN,UNKNOWN,REAR END,DIVIDED - W/MEDIAN BARRIER,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,$500 OR LESS,05/23/2025 20:50,UNABLE TO DETERMINE,UNABLE TO DETERMINE,749,N,ASHLAND AVE,1215,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,20,6,5,3,0,20,6,5
CLEAR,DAYLIGHT,ANGLE,FOUR WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",05/23/2025 11:16,FAILING TO YIELD RIGHT-OF-WAY,UNABLE TO DETERMINE,12700,S,UNION AVE,523,,,,,,,2,"REPORTED, NOT EVIDENT",1,0,0,0,1,1,0,11,6,5,1,0,11,6,5
CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",01/17/2025 12:30,UNABLE TO DETERMINE,UNABLE TO DETERMINE,812,N,HOMAN AVE,1121,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,14,3,1,2,0,14,3,1
CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,FOUR WAY,,STRAIGHT AND LEVEL,DRY,UNKNOWN,,INJURY AND / OR TOW DUE TO CRASH,,,Y,"OVER $1,500",04/05/2025 23:16,FAILING TO YIELD RIGHT-OF-WAY,FAILING TO REDUCE SPEED TO AVOID CRASH,1601,W,87TH ST,2221,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,21,7,4,2,0,21,7,4
CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,FOUR WAY,,STRAIGHT AND LEVEL,DRY,UNKNOWN,ON SCENE,NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",05/23/2025 16:01,UNABLE TO DETERMINE,NOT APPLICABLE,2333,W,95TH ST,2213,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,5,0,15,6,5,5,0,15,6,5
CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,DIVIDED - W/MEDIAN BARRIER,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"$501 - $1,500",08/28/2024 17:20,UNABLE TO DETERMINE,UNABLE TO DETERMINE,1805,S,ASHLAND AVE,1233,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,8,7,8,1,0,8,7,8
CLEAR,DAYLIGHT,ANGLE,DIVIDED - W/MEDIAN BARRIER,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",08/12/2024 18:23,PHYSICAL CONDITION OF DRIVER,PHYSICAL CONDITION OF DRIVER,3600,N,WESTERN AVE,1921,,,,,,,3,NONINCAPACITATING INJURY,1,0,0,1,0,2,0,18,2,8,2,0,18,2,8
CLEAR,DAYLIGHT,REAR END,T-INTERSECTION,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,$500 OR LESS,11/05/2024 15:17,IMPROPER OVERTAKING/PASSING,NOT APPLICABLE,2407,W,104TH ST,2211,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,15,2,11,2,0,15,2,11
CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,UNKNOWN,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",08/28/2024 16:54,UNABLE TO DETERMINE,NOT APPLICABLE,5925,N,CICERO AVE,1711,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,16,4,8,2,0,16,4,8
RAIN,"DARKNESS, LIGHTED ROAD",TURNING,T-INTERSECTION,,STRAIGHT AND LEVEL,WET,UNKNOWN,ON SCENE,NO INJURY / DRIVE AWAY,,Y,Y,"OVER $1,500",03/16/2025 2:36,IMPROPER OVERTAKING/PASSING,IMPROPER OVERTAKING/PASSING,3842,S,MICHIGAN AVE,213,Y,Y,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,4,0,2,1,3,4,0,2,1,3
UNKNOWN,DAYLIGHT,PARKED MOTOR VEHICLE,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,UNKNOWN,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",01/19/2025 13:35,UNABLE TO DETERMINE,NOT APPLICABLE,4314,S,COTTAGE GROVE AVE,221,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,12,3,1,1,0,12,3,1
CLEAR,DARKNESS,PARKED MOTOR VEHICLE,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",04/05/2025 10:39,UNABLE TO DETERMINE,NOT APPLICABLE,8137,S,RHODES AVE,631,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,2,7,4,1,0,2,7,4
CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",01/14/2025 12:30,FOLLOWING TOO CLOSELY,UNABLE TO DETERMINE,600,S,HOMAN AVE,1133,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,14,3,1,2,0,14,3,1
CLEAR,DAYLIGHT,REAR TO SIDE,OTHER,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,Y,,"$501 - $1,500",08/12/2024 12:34,UNABLE TO DETERMINE,UNABLE TO DETERMINE,1160,W,VAN BUREN ST,1232,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,11,2,8,2,0,11,2,8
CLEAR,DAYLIGHT,ANGLE,FOUR WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",12/04/2024 10:43,FAILING TO YIELD RIGHT-OF-WAY,UNABLE TO DETERMINE,100,S,HALSTED ST,1232,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,10,4,12,2,0,10,4,12
CLEAR,UNKNOWN,TURNING,T-INTERSECTION,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",11/04/2024 17:27,IMPROPER TURNING/NO SIGNAL,FAILING TO YIELD RIGHT-OF-WAY,6199,N,SHERIDAN RD,2433,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,17,2,11,2,0,17,2,11
UNKNOWN,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,PARKING LOT,,STRAIGHT AND LEVEL,UNKNOWN,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,Y,,"OVER $1,500",11/04/2024 9:30,UNABLE TO DETERMINE,NOT APPLICABLE,5045,S,WESTERN BLVD,931,,,,,,,4,NO INDICATION OF INJURY,0,0,0,0,0,2,0,4,2,11,2,0,4,2,11
CLEAR,DARKNESS,REAR END,FOUR WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",08/28/2024 19:31,FOLLOWING TOO CLOSELY,NOT APPLICABLE,1345,N,PULASKI RD,2535,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,19,4,8,2,0,19,4,8
CLEAR,DARKNESS,ANGLE,FOUR WAY,,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",01/14/2025 19:31,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,301,E,43RD ST,215,,,,,,,3,NO INDICATION OF INJURY,0,0,0,0,0,3,0,19,3,1,3,0,19,3,1
CLEAR,DAYLIGHT,TURNING,UNKNOWN,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",02/21/2024 9:08,FAILING TO YIELD RIGHT-OF-WAY,IMPROPER LANE USAGE,1620,W,ADAMS ST,1224,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,9,4,2,3,0,9,4,2
CLEAR,DAWN,ANGLE,TRAFFIC ROUTE,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",10/05/2024 19:48,UNABLE TO DETERMINE,UNABLE TO DETERMINE,1966,S,CANALPORT AVE,1235,,,,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,1,0,19,7,10,1,0,19,7,10
UNKNOWN,UNKNOWN,FIXED OBJECT,ALLEY,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,Y,Y,"OVER $1,500",11/04/2025 11:56,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,UNABLE TO DETERMINE,6360,N,MELVINA AVE,1611,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,15,2,10,2,0,15,2,10
CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,$500 OR LESS,08/12/2024 13:20,NOT APPLICABLE,NOT APPLICABLE,4755,N,LONG AVE,1623,,,,,,,2,"REPORTED, NOT EVIDENT",1,0,0,0,1,1,0,13,2,8,1,0,13,2,8
CLEAR,DAYLIGHT,ANGLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,Y,"OVER $1,500",08/28/2024 7:30,UNABLE TO DETERMINE,UNABLE TO DETERMINE,8300,S,INDIANA AVE,632,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,6,4,8,3,0,6,4,8
CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",08/28/2024 12:10,FAILING TO YIELD RIGHT-OF-WAY,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",2799,N,CICERO AVE,2521,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,7,4,8,2,0,7,4,8
CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",09/07/2024 4:36,UNABLE TO DETERMINE,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,6435,S,MOZART ST,823,,,,,,,3,NO INDICATION OF INJURY,0,0,0,0,0,1,0,4,7,9,1,0,4,7,9
CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,$500 OR LESS,04/07/2025 10:20,FOLLOWING TOO CLOSELY,UNABLE TO DETERMINE,800,S,WOOD ST,1231,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,11,7,4,2,0,11,7,4
UNKNOWN,UNKNOWN,TURNING,FOUR WAY,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,,,Y,"OVER $1,500",01/21/2025 16:05,NOT APPLICABLE,UNABLE TO DETERMINE,2000,E,75TH ST,333,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,14,3,1,2,0,14,3,1
CLEAR,DUSK,TURNING,T-INTERSECTION,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",01/14/2025 20:15,UNABLE TO DETERMINE,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,5508,N,WESTERN AVE,2011,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,19,3,1,2,0,19,3,1
UNKNOWN,UNKNOWN,PARKED MOTOR VEHICLE,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"$501 - $1,500",01/14/2025 16:38,UNABLE TO DETERMINE,NOT APPLICABLE,10540,S,AVENUE N,432,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,10,3,1,1,0,10,3,1
CLEAR,"DARKNESS, LIGHTED ROAD",FIXED OBJECT,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,,INJURY AND / OR TOW DUE TO CRASH,,,Y,"OVER $1,500",10/20/2025 1:34,FAILING TO REDUCE SPEED TO AVOID CRASH,UNABLE TO DETERMINE,3859,W,66TH PL,833,,,,,,,1,NO INDICATION OF INJURY,0,0,0,0,0,1,0,1,2,10,1,0,1,2,10
CLEAR,DAYLIGHT,HEAD ON,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,N,,,"OVER $1,500",08/12/2024 17:13,UNABLE TO DETERMINE,UNABLE TO DETERMINE,5953,N,MILWAUKEE AVE,1622,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,17,2,8,2,0,17,2,8
CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"$501 - $1,500",01/07/2025 13:26,UNABLE TO DETERMINE,UNABLE TO DETERMINE,1840,W,TAYLOR ST,1231,,,,,,,3,"REPORTED, NOT EVIDENT",1,0,0,0,1,2,0,13,3,1,2,0,13,3,1
RAIN,DAYLIGHT,REAR TO FRONT,ONE-WAY,,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",11/04/2024 20:20,NOT APPLICABLE,NOT APPLICABLE,6500,S,CAMPBELL AVE,832,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,6,0,14,2,11,6,0,14,2,11
